Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2006-01-01,87.78,77.78,77.78,77.78,77.78,77.78,75.77,75.77,76.28,76.28,76.28,76.28,77.78,76.28,75.77,71.28,69.07,76.28,77.78,87.78,87.78,77.78,77.78,77.78
2006-01-02,76.28,76.28,76.28,76.28,76.28,76.78,76.78,76.78,76.78,76.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,81.77,87.78,87.78,87.78,82.78,76.78,76.78
2006-01-03,77.68,77.68,77.68,77.68,77.68,77.68,77.68,81.77,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,87.78,114.43,87.78,82.78,77.68,77.68
2006-01-04,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,81.77,77.78,77.78,81.77,81.77,77.78,77.78,77.78,77.78,85.78,85.78,87.78,85.78,85.78,81.77,77.78
2006-01-05,86.78,86.78,86.78,86.78,86.78,86.78,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,91.13,88.28,88.28,86.78,86.78
2006-01-06,82.27,77.78,77.78,77.78,77.78,82.27,87.78,87.78,88.78,88.78,88.78,87.78,87.78,87.78,87.78,87.78,87.78,88.78,88.78,95.78,88.78,88.78,87.78,77.78
2006-01-07,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,85.78,85.78,85.78,78.28,78.28,78.28
2006-01-08,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,78.28,85.78,85.78,85.78,85.78,78.28,78.28
2006-01-09,82.78,82.78,77.78,77.78,77.78,77.78,77.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,85.78,85.78,85.78,82.78,82.78,82.78
2006-01-10,77.38,77.38,77.38,77.38,77.38,77.38,77.38,77.78,81.77,85.78,85.78,81.77,77.78,77.78,77.78,77.78,77.78,81.77,85.78,87.78,85.78,85.78,81.77,77.38
