Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2002-01-01,33.44,32.44,32.44,31.44,31.44,31.44,31.14,31.14,31.14,31.14,31.14,31.14,31.44,31.14,31.14,31.14,31.14,31.14,33.44,33.44,33.44,32.44,32.44,31.44
2002-01-02,28.84,28.84,28.84,28.84,28.84,28.84,28.84,28.84,28.84,28.85,28.85,28.97,28.97,28.97,28.97,28.85,28.85,28.85,33.44,33.44,33.44,32.44,28.97,28.84
2002-01-03,28.84,28.84,28.84,28.84,28.84,28.84,28.84,28.84,28.85,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,33.44,38.44,33.44,32.44,28.97,28.84
2002-01-04,29.15,29.15,29.15,28.85,29.15,29.15,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,29.44,32.44,38.44,32.44,31.44,29.44,29.44
2002-01-05,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44,30.44,32.44,32.44,30.44,30.44,30.44,30.44,30.44,33.44,36.44,33.44,32.44,32.44,30.44
2002-01-06,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,33.44,33.44,33.44,33.44,32.54,32.54
2002-01-07,34.44,34.44,33.94,33.54,33.94,34.44,33.94,34.44,34.44,34.44,34.44,34.44,34.44,34.44,34.44,34.44,34.44,34.44,35.41,35.41,35.41,35.41,34.44,34.44
2002-01-08,34.44,34.44,34.44,34.44,34.44,34.44,34.73,34.73,34.73,34.73,34.73,34.73,34.73,34.73,34.73,34.73,34.73,35.44,43.44,43.44,35.94,35.44,34.73,34.73
2002-01-09,34.44,34.23,34.23,34.23,34.23,34.44,34.44,34.44,34.44,34.44,35.44,35.44,35.44,34.44,34.44,34.44,34.44,35.44,43.44,43.44,36.44,35.44,34.44,34.44
2002-01-10,34.54,34.54,34.54,34.54,34.54,34.54,34.64,34.64,34.64,34.64,34.64,34.94,34.64,34.64,34.64,34.64,34.64,34.94,35.94,36.44,35.54,34.94,34.64,34.54
2002-01-11,34.59,34.59,34.59,34.59,34.59,34.59,34.63,34.63,35.44,34.63,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.64,35.74,35.64,35.44,35.44,34.59
2002-01-12,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.44,35.44,35.44,35.44,36.24,35.44,35.44,35.44,35.44,35.44,35.44,36.94,36.94,36.94,36.94,35.44,35.39
2002-01-13,36.94,36.94,36.44,36.44,36.44,36.94,36.94,36.94,36.94,36.94,36.94,37.34,36.94,36.94,36.94,36.94,36.94,36.94,39.44,43.94,39.44,38.44,37.34,36.94
2002-01-14,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.34,38.44,38.34,38.34,38.34,38.34,38.34,38.34,39.44,41.94,38.44,38.44,38.34,38.34
2002-01-15,38.44,38.44,38.44,38.44,38.44,38.44,38.44,38.44,39.44,38.44,39.44,39.44,38.44,38.44,38.44,38.44,38.44,38.44,43.44,44.44,43.44,43.44,38.44,38.44
2002-01-16,39.44,39.44,39.44,39.44,39.44,40.44,40.44,40.44,41.44,40.44,42.44,42.44,40.44,41.44,41.44,41.44,40.44,40.44,42.44,42.44,42.44,42.44,40.44,40.44
2002-01-17,37.44,37.44,36.44,36.44,37.44,37.44,39.44,39.94,41.33,41.33,41.44,41.44,41.33,39.94,39.44,39.94,39.94,39.44,41.44,44.44,41.44,41.33,39.44,37.44
2002-01-18,36.44,36.44,36.44,36.44,36.44,36.44,37.44,37.94,38.44,38.44,38.44,39.44,38.44,38.44,37.94,38.44,38.44,38.44,39.94,40.94,39.44,39.44,37.94,36.44
2002-01-19,37.44,37.44,37.44,37.44,37.44,37.44,38.19,38.44,38.44,38.44,38.44,38.44,38.44,38.44,38.44,38.44,38.44,38.44,38.94,38.94,38.94,38.44,38.44,38.19
2002-01-20,38.44,38.44,38.44,38.44,38.44,38.44,38.44,38.44,39.44,39.44,39.44,40.94,40.94,38.44,38.44,38.44,38.44,38.44,42.44,43.44,43.44,42.44,40.94,38.44
2002-01-21,37.44,37.44,37.44,37.44,37.44,38.44,39.44,39.44,40.44,40.44,41.44,41.44,41.44,40.44,39.44,40.44,39.44,40.44,45.54,46.44,45.54,41.44,39.44,37.44
2002-01-22,34.44,34.44,34.44,34.44,34.44,40.44,41.44,42.44,42.44,42.44,43.44,43.44,42.44,42.44,42.44,42.44,42.44,42.44,50.44,53.44,50.44,42.44,40.44,34.44
2002-01-23,35.94,35.94,35.94,35.94,35.94,36.44,42.44,43.44,43.44,43.44,43.44,44.44,43.44,43.44,43.44,43.44,43.44,43.44,55.44,55.44,55.44,44.44,42.44,36.44
2002-01-24,36.44,36.44,35.94,36.44,36.44,46.44,48.44,48.44,48.44,49.44,49.44,49.44,49.44,49.44,48.44,48.44,49.44,48.44,56.44,56.44,55.44,49.44,46.44,36.44
2002-01-25,43.44,43.44,42.44,42.44,43.44,43.44,54.44,54.44,54.44,52.44,54.44,54.44,52.44,52.44,52.44,52.44,52.44,52.44,56.44,56.94,56.44,54.44,43.44,43.44
2002-01-26,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,39.65,39.65,37.19,37.19,37.19,37.19,37.19,56.44,56.44,56.44,42.44,37.19,37.19
2002-01-27,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,56.44,60.44,59.94,56.44,42.44,40.45
2002-01-28,38.33,38.33,38.33,38.33,38.33,42.44,60.34,60.34,60.34,60.34,60.44,60.44,60.34,60.34,60.34,60.34,60.34,60.34,62.44,73.44,62.44,60.34,57.44,38.33
2002-01-29,37.37,37.37,37.37,37.37,37.37,37.37,38.44,38.44,39.62,39.62,56.44,56.44,38.44,38.44,38.44,38.44,38.44,38.44,58.44,59.44,58.44,56.44,38.44,37.37
2002-01-30,36.55,36.55,36.55,36.55,36.55,40.44,40.44,40.44,42.44,40.44,58.34,58.34,58.34,40.44,40.44,40.44,40.44,40.44,58.34,61.44,60.44,58.34,40.44,36.55
2002-01-31,37.44,36.44,36.44,36.44,37.44,40.29,42.44,42.44,42.44,42.44,42.44,42.44,42.44,42.44,42.44,42.44,42.44,40.29,61.44,61.94,61.44,60.44,40.29,40.29
